1;1;1;1;[  ];[ [ 1 ] ]
2;1;2;C2;[ f1 ];[ [ 1, 2 ], [ 2, 1 ] ]
3;1;3;C3;[ f1 ];[ [ 1, 2, 3 ], [ 2, 3, 1 ], [ 3, 1, 2 ] ]
4;1;4;C4;[ f1 ];[ [ 1, 2, 3, 4 ], [ 2, 3, 4, 1 ], [ 3, 4, 1, 2 ], [ 4, 1, 2, 3 ] ]
4;2;5;C2 x C2;[ f1, f2 ];[ [ 1, 2, 3, 4 ], [ 2, 1, 4, 3 ], [ 3, 4, 1, 2 ], [ 4, 3, 2, 1 ] ]
5;1;6;C5;[ f1 ];[ [ 1, 2, 3, 4, 5 ], [ 2, 3, 4, 5, 1 ], [ 3, 4, 5, 1, 2 ], [ 4, 5, 1, 2, 3 ], [ 5, 1, 2, 3, 4 ] ]
6;1;7;S3;[ f1, f2 ];[ [ 1, 2, 3, 4, 5, 6 ], [ 2, 1, 4, 3, 6, 5 ], [ 3, 6, 5, 2, 1, 4 ], [ 4, 5, 6, 1, 2, 3 ], [ 5, 4, 1, 6, 3, 2 ], [ 6, 3, 2, 5, 4, 1 ] ]
6;2;8;C6;[ f1*f2 ];[ [ 1, 2, 3, 4, 5, 6 ], [ 2, 1, 4, 3, 6, 5 ], [ 3, 4, 5, 6, 1, 2 ], [ 4, 3, 6, 5, 2, 1 ], [ 5, 6, 1, 2, 3, 4 ], [ 6, 5, 2, 1, 4, 3 ] ]
7;1;9;C7;[ f1 ];[ [ 1, 2, 3, 4, 5, 6, 7 ], [ 2, 3, 4, 5, 6, 7, 1 ], [ 3, 4, 5, 6, 7, 1, 2 ], [ 4, 5, 6, 7, 1, 2, 3 ], [ 5, 6, 7, 1, 2, 3, 4 ], [ 6, 7, 1, 2, 3, 4, 5 ], [ 7, 1, 2, 3, 4, 5, 6 ] ]
8;1;10;C8;[ f1 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8 ], [ 2, 3, 5, 6, 4, 7, 8, 1 ], [ 3, 5, 4, 7, 6, 8, 1, 2 ], [ 4, 6, 7, 1, 8, 2, 3, 5 ], [ 5, 4, 6, 8, 7, 1, 2, 3 ], [ 6, 7, 8, 2, 1, 3, 5, 4 ], [ 7, 8, 1, 3, 2, 5, 4, 6 ], [ 8, 1, 2, 5, 3, 4, 6, 7 ] ]
8;2;11;C4 x C2;[ f1, f2 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8 ], [ 2, 4, 5, 6, 7, 1, 8, 3 ], [ 3, 5, 1, 7, 2, 8, 4, 6 ], [ 4, 6, 7, 1, 8, 2, 3, 5 ], [ 5, 7, 2, 8, 4, 3, 6, 1 ], [ 6, 1, 8, 2, 3, 4, 5, 7 ], [ 7, 8, 4, 3, 6, 5, 1, 2 ], [ 8, 3, 6, 5, 1, 7, 2, 4 ] ]
8;3;12;D8;[ f1, f2 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8 ], [ 2, 1, 5, 6, 3, 4, 8, 7 ], [ 3, 8, 1, 7, 6, 5, 4, 2 ], [ 4, 6, 7, 1, 8, 2, 3, 5 ], [ 5, 7, 2, 8, 4, 3, 6, 1 ], [ 6, 4, 8, 2, 7, 1, 5, 3 ], [ 7, 5, 4, 3, 2, 8, 1, 6 ], [ 8, 3, 6, 5, 1, 7, 2, 4 ] ]
8;4;13;Q8;[ f1, f2 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8 ], [ 2, 4, 5, 6, 7, 1, 8, 3 ], [ 3, 8, 4, 7, 2, 5, 1, 6 ], [ 4, 6, 7, 1, 8, 2, 3, 5 ], [ 5, 3, 6, 8, 4, 7, 2, 1 ], [ 6, 1, 8, 2, 3, 4, 5, 7 ], [ 7, 5, 1, 3, 6, 8, 4, 2 ], [ 8, 7, 2, 5, 1, 3, 6, 4 ] ]
8;5;14;C2 x C2 x C2;[ f1, f2, f3 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8 ], [ 2, 1, 5, 6, 3, 4, 8, 7 ], [ 3, 5, 1, 7, 2, 8, 4, 6 ], [ 4, 6, 7, 1, 8, 2, 3, 5 ], [ 5, 3, 2, 8, 1, 7, 6, 4 ], [ 6, 4, 8, 2, 7, 1, 5, 3 ], [ 7, 8, 4, 3, 6, 5, 1, 2 ], [ 8, 7, 6, 5, 4, 3, 2, 1 ] ]
9;1;15;C9;[ f1 ];[ [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ], [ 2, 4, 5, 3, 7, 8, 6, 9, 1 ], [ 3, 5, 6, 7, 8, 1, 9, 2, 4 ], [ 4, 3, 7, 5, 6, 9, 8, 1, 2 ], [ 5, 7, 8, 6, 9, 2, 1, 4, 3 ], [ 6, 8, 1, 9, 2, 3, 4, 5, 7 ], [ 7, 6, 9, 8, 1, 4, 2, 3, 5 ], [ 8, 9, 2, 1, 4, 5, 3, 7, 6 ], [ 9, 1, 4, 2, 3, 7, 5, 6, 8 ] ]
